,Model.farm_code,Model.farm_name,Model.examin_datetm,Model.avg_prbrd,Model.avg_lgdiamtr,Model.avg_frut_wt,Model.avg_flsh_wgh,Model.avg_flsh_rate,Model.avg_frsk_one,Model.avg_brx,Model.avg_prcn,Model.avg_brx_prcn_rate,과일
653,16,금악,2021-08-15,42.9,40.1,37.9,27.2,71.9,2.8,7.5,3.2,2.3,감귤
654,16,금악,2021-09-01,48.8,43.2,54.0,43.2,80.0,2.2,7.4,1.9,4.0,감귤
655,16,금악,2021-09-15,51.5,46.3,62.8,51.0,81.2,2.2,7.7,1.4,5.5,감귤
656,16,금악,2021-10-01,54.6,47.5,73.7,61.2,83.0,2.1,8.2,1.1,7.6,감귤
657,16,금악,2021-10-15,57.4,47.6,82.4,67.3,81.7,2.1,8.5,0.9,9.8,감귤
658,16,금악,2021-11-01,59.1,47.5,85.4,68.7,80.3,2.4,9.6,0.8,11.3,감귤
659,16,금악,2021-11-15,58.5,50.2,90.0,72.2,80.2,2.5,9.7,0.8,11.7,감귤
660,16,금악,2021-11-25,61.4,48.0,89.5,70.8,79.2,2.4,9.9,0.8,12.4,감귤
661,26,하례,2021-08-01,41.7,37.8,35.0,23.7,67.5,3.4,6.5,3.7,1.8,감귤
662,26,하례,2021-08-15,45.7,42.1,43.9,31.0,70.6,3.1,6.6,3.2,2.1,감귤
663,26,하례,2021-09-01,49.9,45.1,59.0,46.3,78.3,2.3,6.4,2.0,3.2,감귤
664,26,하례,2021-09-15,54.9,46.2,71.5,56.8,79.3,2.5,6.7,1.6,4.3,감귤
665,26,하례,2021-10-01,55.8,46.2,75.8,62.8,82.8,2.0,7.3,1.2,6.1,감귤
666,26,하례,2021-10-15,59.0,48.8,90.6,74.2,81.8,2.2,8.1,1.0,7.9,감귤
667,26,하례,2021-11-01,61.0,48.7,94.4,76.3,80.9,2.4,8.9,1.0,9.0,감귤
668,26,하례,2021-11-15,61.1,48.0,92.6,73.5,79.4,2.5,9.3,1.0,9.7,감귤
669,26,하례,2021-11-25,61.5,49.2,93.0,73.0,78.4,2.6,9.6,1.0,9.9,감귤
670,29,창천,2021-08-01,39.4,36.7,29.8,21.2,71.0,2.8,6.7,3.5,1.9,감귤
671,29,창천,2021-08-15,42.4,38.8,36.0,27.0,74.9,2.5,7.1,3.0,2.4,감귤
672,29,창천,2021-09-01,48.0,42.6,52.2,42.0,80.4,2.1,6.9,1.8,3.8,감귤
673,29,창천,2021-09-15,51.4,45.3,63.3,52.2,82.4,2.0,7.4,1.5,5.1,감귤
674,29,창천,2021-10-01,55.1,46.0,76.2,64.3,84.5,2.0,7.8,1.1,7.0,감귤
675,29,창천,2021-10-15,56.9,46.3,81.9,68.5,83.6,1.8,8.6,1.0,8.6,감귤
676,29,창천,2021-11-01,59.6,46.3,87.9,72.4,82.3,2.2,9.7,1.0,10.3,감귤
677,29,창천,2021-11-15,59.6,49.2,92.8,74.9,80.7,2.3,10.3,1.0,10.8,감귤
678,29,창천,2021-11-25,58.0,47.2,85.9,68.5,79.8,2.5,10.4,1.0,11.0,감귤
679,30,덕수,2021-08-01,43.3,39.9,38.5,27.3,70.8,3.0,6.8,3.6,1.9,감귤
680,30,덕수,2021-08-15,45.4,41.4,45.1,34.0,75.4,2.6,7.0,3.0,2.4,감귤
681,30,덕수,2021-09-01,51.8,47.5,67.4,54.8,81.3,2.2,6.9,1.9,3.8,감귤
682,30,덕수,2021-09-15,55.2,49.4,78.9,65.8,83.5,2.1,7.3,1.5,4.9,감귤
683,30,덕수,2021-10-01,58.9,49.9,94.1,81.3,86.4,1.8,8.0,1.3,6.6,감귤
684,30,덕수,2021-10-15,59.3,50.0,96.0,81.6,85.0,1.9,8.9,1.1,8.4,감귤
685,30,덕수,2021-11-01,61.5,50.7,104.7,88.8,84.8,1.9,9.8,1.1,9.3,감귤
686,30,덕수,2021-11-15,58.8,48.6,91.2,76.4,83.7,2.0,9.6,1.1,9.1,감귤
687,30,덕수,2021-11-25,63.4,51.9,109.1,90.8,83.2,2.3,10.1,1.0,9.9,감귤
688,31,신효,2021-08-01,43.9,39.5,39.1,28.7,73.4,2.8,6.8,3.1,2.2,감귤
689,31,신효,2021-08-15,46.0,41.5,45.4,34.7,76.4,2.4,7.2,2.6,2.8,감귤
690,31,신효,2021-09-01,51.0,44.6,61.8,50.5,81.7,2.1,6.9,1.5,4.7,감귤
691,31,신효,2021-09-15,54.6,47.5,73.8,60.7,82.3,2.2,7.4,1.2,6.2,감귤
692,31,신효,2021-10-01,56.9,46.0,82.8,69.3,83.6,1.9,7.9,0.9,8.9,감귤
693,31,신효,2021-10-15,59.4,47.4,92.7,77.5,83.6,1.8,8.5,0.8,10.7,감귤
694,31,신효,2021-11-01,60.9,47.5,95.4,78.3,82.0,2.3,9.5,0.8,12.5,감귤
695,31,신효,2021-11-15,61.4,46.6,94.3,76.9,81.5,2.2,9.2,0.8,12.2,감귤
696,31,신효,2021-11-25,60.0,47.5,90.5,72.4,79.9,2.3,10.4,0.8,13.7,감귤
697,32,신흥,2021-08-01,44.3,41.2,41.6,28.9,69.4,3.3,6.6,3.3,2.0,감귤
698,32,신흥,2021-08-15,46.4,42.5,46.3,34.0,73.5,2.9,6.7,2.8,2.4,감귤
699,32,신흥,2021-09-01,52.4,46.9,68.4,54.9,80.1,2.2,6.6,1.6,4.2,감귤
700,32,신흥,2021-09-15,56.4,49.8,81.8,66.6,81.4,2.3,6.8,1.3,5.2,감귤
701,32,신흥,2021-10-01,58.8,49.5,92.4,77.9,84.2,2.1,7.2,1.0,7.3,감귤
702,32,신흥,2021-10-15,59.7,51.9,97.2,81.8,84.1,2.0,8.0,0.8,9.8,감귤
703,32,신흥,2021-11-01,63.5,52.0,112.1,93.0,83.0,2.3,8.7,0.8,10.7,감귤
704,32,신흥,2021-11-15,62.0,53.2,106.8,87.7,82.1,2.4,8.7,0.8,10.6,감귤
705,32,신흥,2021-11-25,63.5,51.3,111.3,90.1,80.9,2.4,9.8,0.8,12.7,감귤
