,상품명,한달판매량
296,[올팜스]제주 그린키위 2.4kg(13-20과),
297,[올팜스]제주 그린키위 1.2kg(6-10과),
298,[올팜스]제주 황금향 가정용 5kg (30-50과),
299,[올팜스]제주 황금향 가정용 3kg (10-24과),
300,[올팜스]제주 황금향 가정용 2kg (10-16과),
301,파네 디저트의 명가 탕후루 딸기 130g x 10개,
302,"[웰굿][GAP인증] 신선하고 달콤한 골드키위 1kg(8-10과,대과)",
303,"[웰굿][GAP인증] 신선하고 달콤한 골드키위 3kg(28-31과,대과)",
304,"[웰굿][GAP인증] 신선하고 달콤한 골드키위 5kg(47-52과,대과)",
305,"[웰굿][GAP인증] 신선하고 달콤한 골드키위 1kg(7-8과,특대과)",
306,"[웰굿][GAP인증] 신선하고 달콤한 골드키위 3kg(22-26과,특대과)",
307,"[웰굿][GAP인증] 신선하고 달콤한 골드키위 5kg(37-43과,특대과)",
308,실속형 나주배 4.5kg,
309,[참다올]GAP인증 하동참다래3kg 대과,
310,[참다올]GAP인증 하동참다래3kg 왕특,
311,[참다올]GAP인증 하동참다래5kg 대과,
312,[참다올]GAP인증 하동참다래10kg 115과내외,
313,[참다올]GAP인증 하동참다래10kg 95과내외,
314,충주 산지직송 아삭달콤한 햇사과 정품 꼬마과 16-21과 3kg,
315,충주 산지직송 아삭달콤한 햇사과 가정용 대과 6과내외 3kg,
316,충주 산지직송 아삭달콤한 햇사과 가정용 중소과 15-20과 3kg,
317,충주 산지직송 아삭달콤한 햇사과 가정용 중대과 8-12과 3kg,
318,충주 산지직송 아삭달콤한 햇사과 가정용 대과 4과내외 2kg,
319,충주 산지직송 아삭달콤한 햇사과 가정용 중과 13과내외 3kg,
320,충주 산지직송 아삭달콤한 햇사과 정품 꼬마과 10-15과 2kg,
321,충주 산지직송 아삭달콤한 햇사과 가정용 중소과 10-15과 2kg,1(1건)
322,충주 산지직송 아삭달콤한 햇사과 가정용 중대과 6-8과 2kg,
323,충주 산지직송 아삭달콤한 햇사과 가정용 중과 8과내외 2kg,
324,식탐대첩 국내산 세지멜론 3통 개당 1.9kg내외,
325,식탐대첩 국내산 세지멜론 2통 개당 1.9kg내외,
326,식탐대첩 국내산 세지멜론 1통 개당 1.9kg내외,
327,식탐대첩 메로골드 청자몽 점보 15kg 22-27과,
328,식탐대첩 메로골드 청자몽 점보 10kg 15-19과,
329,식탐대첩 메로골드 청자몽 점보 5kg 7-10과,
330,식탐대첩 메로골드 청자몽 점보 2kg 3-5과,
331,식탐대첩 메로골드 청자몽 대과 40과 15kg 내외,
332,식탐대첩 메로골드 청자몽 대과 30과 11kg 내외,
333,식탐대첩 메로골드 청자몽 대과 15과 5.6kg 내외,
334,식탐대첩 메로골드 청자몽 대과 10과 3.7kg 내외,
335,식탐대첩 메로골드 청자몽 대과 6과 2.2kg 내외,
336,식탐대첩 메로골드 청자몽 대과 3과 1.1kg 내외,
337,산지직송 나주배 나리배 가정용 3kg(4-7과),
338,산지직송 나주배 나리배 가정용 5kg(5-7과),
339,산지직송 나주배 나리배 가정용 5kg(8-9과),
340,산지직송 나주배 나리배 가정용 5kg(10-12과),
341,생유자 못난이 10kg 사이즈혼합,
342,생유자 못난이 5kg 사이즈혼합,
343,다온 생유자 5kg 30-35과,
344,경북 영주 당도높은 해나리 홍로사과 2.5Kg(6~14과내외)/사과 영주사과 꿀사과,
345,경북 영주 해나리 속빨간 엔부사과 3Kg(6~16과내외)/사과 앤부사과 속빨간사과,
346,경북 영주 해나리 속빨간 엔부사과 2.5Kg(6~14과내외)/사과 앤부사과 속빨간사과,
347,제주 제주도 고당도 레드키위 홍다래 4kg 특대 (38~46과 내외) [무릉외갓집],
348,제주 제주도 고당도 레드키위 홍다래 2kg 특대 (19~23과 내외) [무릉외갓집],
349,[착한식탁]주스용 부사 사과 13kg 랜덤과,13개 구매
350,제주 제주도 극조생 감귤 10kg 내외 (서귀포)[무릉외갓집],
351,제주 제주도 극조생 감귤 5kg 내외 (서귀포)[무릉외갓집],
352,달콤이네상콤이네 국내산 신선한 완숙토마토 주스용(못난이) 10kg,
353,달콤이네상콤이네 국내산 신선한 완숙토마토 3번과 10kg,
354,달콤이네상콤이네 국내산 신선한 완숙토마토 2번과 10kg,
355,달콤이네상콤이네 국내산 신선한 완숙토마토 1번과 10kg,
356,달콤이네상콤이네 국내산 신선한 완숙토마토 3번과 5kg,
357,달콤이네상콤이네 국내산 신선한 완숙토마토 2번과 5kg,
358,달콤이네상콤이네 국내산 신선한 완숙토마토 1번과 5kg,
359,달콤이네상콤이네 국내산 신선한 완숙토마토 3번과 3kg,
360,달콤이네상콤이네 국내산 신선한 완숙토마토 2번과 3kg,
361,달콤이네상콤이네 국내산 신선한 완숙토마토 1번과 3kg,
362,달콤이네상콤이네 국내산 신선한 완숙토마토 주스용(못난이) 5kg,
363,[산지직송][산들네] 시나노골드 황금사과 3kg 13과 내외,
364,[산지직송][산들네] 시나노골드 황금사과 3kg 15과 내외,
365,[산지직송][산들네] 시나노골드 황금사과 3kg 17과 내외,
366,[산지직송][산들네] 시나노골드 황금사과 3kg 13과 내외 x 2박스 (총 6kg),
367,[산지직송][산들네] 시나노골드 황금사과 3kg 15과 내외 x 2박스 (총 6kg),
368,[산지직송][산들네] 시나노골드 황금사과 3kg 17과 내외 x 2박스 (총 6kg),
369,[산지직송][산들네] 시나노골드 황금사과 5kg 25과 내외,
370,[산지직송][산들네] 시나노골드 황금사과 5kg 28과 내외,
371,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 중대과 4.5kg,
372,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 꼬마과 4.5kg,
373,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 소과 4.5kg,
374,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 로얄과 4.5kg,
375,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 프리미엄과 4.5kg,
376,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 중대과 9kg,
377,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 꼬마과 9kg,
378,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 소과 9kg,
379,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 로얄과 9kg,
380,제주 효돈감귤 3대째 이어오는 해거리농법 조생 노지감귤 프리미엄과 9kg,
381,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 중대과 2.5kg,
382,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 꼬마과 2.5kg,
383,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 소과 2.5kg,
384,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 로얄과 2.5kg,
385,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 프리미엄과 2.5kg,
386,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 중대과 4.5kg,
387,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 꼬마과 4.5kg,
388,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 소과 4.5kg,
389,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 로얄과 4.5kg,
390,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 프리미엄과 4.5kg,
391,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 중대과 9kg,
392,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 꼬마과 9kg,
393,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 소과 9kg,
394,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 로얄과 9kg,
395,제주 효돈감귤 3대째 이어오는 해거리농법 조생 타이백감귤 프리미엄과 9kg,
396,청정 제주도 산지직송 타이벡농법 감귤 소과 10kg (S-M),
397,청정 제주도 산지직송 타이벡농법 감귤 로얄과 10kg (M-L),
398,청정 제주도 산지직송 타이벡농법 감귤 소과 5kg (S-M),
